Año;Mes;Año-Mes;Nombre;Precio OMIE;Variación MoM (%);Precio kWh (€);Precio ACS (€);Coste estimado (€);Coste estimado con IVA (€)
2023;1;01-23;Enero;69,55;;;;;
2023;2;02-23;Febrero;133,47;91,91;;;;
2023;3;03-23;Marzo;89,61;-32,86;;;;
2023;4;04-23;Abril;73,73;-17,72;;;;
2023;5;05-23;Mayo;74,21;0,65;;;;
2023;6;06-23;Junio;93,02;25,35;;;;
2023;7;07-23;Julio;90,47;-2,74;;;;
2023;8;08-23;Agosto;96,05;6,17;;;;
2023;9;09-23;Septiembre;103,34;7,59;;;;
2023;10;10-23;Octubre;90,14;-12,77;;;;
2023;11;11-23;Noviembre;63,45;-29,61;;;;
2023;12;12-23;Diciembre;72,17;13,74;;;;
2024;1;01-24;Enero;74,1;2,67;;;;
2024;2;02-24;Febrero;40;-46,02;;;;
2024;3;03-24;Marzo;20,28;-49,3;;;;
2024;4;04-24;Abril;13,67;-32,59;;;;
2024;5;05-24;Mayo;30,4;122,38;;;;
2024;6;06-24;Junio;56,08;84,47;;;;
2024;7;07-24;Julio;72,31;28,94;;;;
2024;8;08-24;Agosto;91,05;25,92;0,06767;5,68;63,7;77,1
2024;9;09-24;Septiembre;72,62;-20,24;0,07468;6,12;68,3;82,6
2024;10;10-24;Octubre;;;0,05956;5,19;58,5;70,8
2024;11;11-24;Noviembre;;;;;;
2024;12;12-24;Diciembre;;;;;;
